Кол-во комнат,Район,Этажность,Общая площадь,Жилая площадь,Площадь кухни,Планировка,Цена
1,"Автозаводский, 21 квартал",7/10,38,18,8,УЛЬ/ПАН,2580 тыс. pуб.
1,"Автозаводский, 2 квартал",4/5,31,0,0,СТМ/ПАН,2590 тыс. pуб.
1,"Автозаводский, 21 квартал",9/10,39,18,8,УЛЬ/ПАН,2595 тыс. pуб.
1,"Автозаводский, 2 квартал",6/16,44,29,7,ТАШ/ПАН,2600 тыс. pуб.
1,"Автозаводский, 1 квартал",2/9,37,17,7,УЛУ/КИР,2600 тыс. pуб.
1,"Автозаводский, 6А квартал",1/9,40,17,8,МАК/ПАН,2600 тыс. pуб.
1,"Автозаводский, 3Б квартал",5/5,34,0,9,УЛУ/КИР,2600 тыс. pуб.
1,"Автозаводский, 3Б квартал",5/5,34,0,9,УЛУ/КИР,2600 тыс. pуб.
1,"Автозаводский, 3Б квартал",6/15,26,15,0,УЛУ/КИР,2600 тыс. pуб.
1,"Автозаводский, 3 квартал",11/16,40,20,9,УЛУ/БЛЧ,2600 тыс. pуб.
1,"Автозаводский, 3 квартал",3/16,44,21,10,УЛУ/БЛЧ,2600 тыс. pуб.
1,"Автозаводский, 9 квартал",7/9,33,17,9,МСК/ПАН,2600 тыс. pуб.
1,"Автозаводский, 8 квартал",1/10,30,15,8,УЛУ/КИР,2600 тыс. pуб.
1,"Автозаводский, 8 квартал",6/9,33,17,8,МСК/ПАН,2600 тыс. pуб.
1,"Автозаводский, 17 квартал",1/9,35,18,8,УЛЬ/ПАН,2600 тыс. pуб.
1,"Автозаводский, 15 квартал",8/9,33,17,8,МСК/ПАН,2600 тыс. pуб.
1,"Автозаводский, 14А квартал",12/14,27,11,5,УЛУ/БЛЧ,2600 тыс. pуб.
1,"Автозаводский, 21 квартал",9/10,35,18,8,УЛЬ/ПАН,2600 тыс. pуб.
1,"Автозаводский, 20 квартал",7/9,33,17,9,МСК/ПАН,2600 тыс. pуб.
1,"Автозаводский, 19 квартал",10/15,38,18,12,УЛУ/КИР,2600 тыс. pуб.
1,"Автозаводский, 18 квартал",3/10,34,17,8,МСК/ПАН,2600 тыс. pуб.
1,"Автозаводский, 18 квартал",6/10,35,0,0,УЛЬ/ПАН,2600 тыс. pуб.
1,"Автозаводский, 2 квартал",5/5,31,17,7,СТМ/ПАН,2610 тыс. pуб.
1,"Автозаводский, 3Б квартал",11/16,30,19,0,УЛУ/КИР,2620 тыс. pуб.
1,"Автозаводский, 18Б квартал",9/10,20,0,0,УЛУ/КИР,2635 тыс. pуб.
1,"Автозаводский, 4 квартал",7/9,33,17,8,МСК/ПАН,2650 тыс. pуб.
1,"Автозаводский, 32 квартал",12/14,38,17,9,УЛУ/КИР,2650 тыс. pуб.
1,"Автозаводский, 16 квартал",1/9,34,17,9,МСК/ПАН,2650 тыс. pуб.
1,"Автозаводский, 16 квартал",3/9,34,17,9,МСК/ПАН,2650 тыс. pуб.
1,"Автозаводский, 14А квартал",7/18,25,0,0,УЛУ/МОН,2650 тыс. pуб.
1,"Автозаводский, 14 квартал",9/9,39,21,9,ОЛМ/ПАН,2650 тыс. pуб.
1,"Автозаводский, 21 квартал",2/8,34,17,9,МСК/ПАН,2650 тыс. pуб.
1,"Автозаводский, 17 квартал",6/10,38,18,8,УЛЬ/ПАН,2670 тыс. pуб.
1,"Автозаводский, 5 квартал",9/9,34,17,9,МСК/ПАН,2680 тыс. pуб.
1,"Автозаводский, 5 квартал",7/9,34,17,9,МСК/ПАН,2690 тыс. pуб.
1,"Автозаводский, 17 квартал",4/10,39,18,8,УЛЬ/ПАН,2690 тыс. pуб.
1,"Автозаводский, 2 квартал",15/16,37,17,10,МАК/ПАН,2700 тыс. pуб.
1,"Автозаводский, 5 квартал",2/9,33,17,8,МСК/ПАН,2700 тыс. pуб.
1,"Автозаводский, 2 квартал",4/5,37,17,10,УЛУ/КИР,2700 тыс. pуб.
1,"Автозаводский, 2 квартал",12/16,38,20,10,МАК/ПАН,2700 тыс. pуб.
1,"Автозаводский, 10 квартал",2/12,32,17,8,ТАШ/ПАН,2700 тыс. pуб.
1,"Автозаводский, 10 квартал",1/9,37,19,9,ЭКС/ПАН,2700 тыс. pуб.
1,"Автозаводский, 8 квартал",4/9,32,17,8,МСК/ПАН,2700 тыс. pуб.
1,"Автозаводский, 8 квартал",7/9,33,18,9,МСК/ПАН,2700 тыс. pуб.
1,"Автозаводский, 17 квартал",10/10,26,16,6,УЛЬ/ПАН,2700 тыс. pуб.
1,"Автозаводский, 14 квартал",1/9,34,17,9,МСК/ПАН,2700 тыс. pуб.
1,"Автозаводский, 18А квартал",3/9,40,19,11,МАК/ПАН,2700 тыс. pуб.
1,"Автозаводский, 18 квартал",9/10,34,17,9,МСК/ПАН,2700 тыс. pуб.
1,"Автозаводский, 18 квартал",7/16,38,20,12,УЛУ/МОН,2700 тыс. pуб.
1,"Автозаводский, 1 квартал",4/5,31,17,7,СТМ/ПАН,2737 тыс. pуб.
1,"Автозаводский, 3Б квартал",2/5,35,20,8,УЛУ/КИР,2750 тыс. pуб.
1,"Автозаводский, 11 квартал",4/10,33,17,8,МСК/ПАН,2750 тыс. pуб.
1,"Автозаводский, 11 квартал",5/16,33,17,8,ТАШ/ПАН,2750 тыс. pуб.
1,"Автозаводский, 11 квартал",6/9,31,17,8,МСК/ПАН,2750 тыс. pуб.
1,"Автозаводский, 7 квартал",9/12,38,19,10,УЛУ/КИР,2750 тыс. pуб.
1,"Автозаводский, 17А квартал",6/10,36,28,10,УЛЬ/ПАН,2750 тыс. pуб.
1,"Автозаводский, 32 квартал",7/18,38,21,10,МОН/БЛЧ,2753 тыс. pуб.
1,"Автозаводский, 21 квартал",4/10,35,18,8,УЛЬ/ПАН,2780 тыс. pуб.
1,"Автозаводский, 18А квартал",1/9,46,18,12,МАК/ПАН,2780 тыс. pуб.
1,"Автозаводский, 8 квартал",1/5,31,14,9,УЛУ/ПАН,2790 тыс. pуб.
1,"Автозаводский, 4 квартал",1/9,36,16,8,УЛУ/БЛЧ,2800 тыс. pуб.
1,"Автозаводский, 32 квартал",2/17,37,18,12,УЛУ/ПАН,2800 тыс. pуб.
1,"Автозаводский, 2 квартал",8/16,37,18,10,МАК/ПАН,2800 тыс. pуб.
